"Filing.Year","Distance","Total","index"
2001,"1 block left from 2nd Ave line",402,100
2001,"2-3 blocks left from 2nd Ave line",941,100
2001,"4-5 blocks left from 2nd Ave line",1228,100
2002,"1 block left from 2nd Ave line",519,129.10447761194
2002,"2-3 blocks left from 2nd Ave line",954,101.381509032944
2002,"4-5 blocks left from 2nd Ave line",1256,102.28013029316
2003,"1 block left from 2nd Ave line",589,146.517412935323
2003,"2-3 blocks left from 2nd Ave line",1041,110.626992561105
2003,"4-5 blocks left from 2nd Ave line",1352,110.097719869707
2004,"1 block left from 2nd Ave line",546,135.820895522388
2004,"2-3 blocks left from 2nd Ave line",1148,121.997874601488
2004,"4-5 blocks left from 2nd Ave line",1475,120.114006514658
2005,"1 block left from 2nd Ave line",650,161.691542288557
2005,"2-3 blocks left from 2nd Ave line",1198,127.31137088204
2005,"4-5 blocks left from 2nd Ave line",1504,122.475570032573
2006,"1 block left from 2nd Ave line",691,171.890547263682
2006,"2-3 blocks left from 2nd Ave line",1375,146.121147715197
2006,"4-5 blocks left from 2nd Ave line",1548,126.058631921824
2007,"1 block left from 2nd Ave line",695,172.885572139303
2007,"2-3 blocks left from 2nd Ave line",1449,153.985122210414
2007,"4-5 blocks left from 2nd Ave line",1779,144.869706840391
2008,"1 block left from 2nd Ave line",744,185.074626865672
2008,"2-3 blocks left from 2nd Ave line",1431,152.072263549416
2008,"4-5 blocks left from 2nd Ave line",1700,138.436482084691
2009,"1 block left from 2nd Ave line",592,147.26368159204
2009,"2-3 blocks left from 2nd Ave line",1318,140.063761955367
2009,"4-5 blocks left from 2nd Ave line",1614,131.4332247557
2010,"1 block left from 2nd Ave line",732,182.089552238806
2010,"2-3 blocks left from 2nd Ave line",1462,155.366631243358
2010,"4-5 blocks left from 2nd Ave line",1683,137.052117263844
2011,"1 block left from 2nd Ave line",870,216.417910447761
2011,"2-3 blocks left from 2nd Ave line",1713,182.040382571732
2011,"4-5 blocks left from 2nd Ave line",1855,151.058631921824
2012,"1 block left from 2nd Ave line",742,184.577114427861
2012,"2-3 blocks left from 2nd Ave line",1929,204.994686503719
2012,"4-5 blocks left from 2nd Ave line",2129,173.371335504886
2013,"1 block left from 2nd Ave line",806,200.497512437811
2013,"2-3 blocks left from 2nd Ave line",2238,237.832093517535
2013,"4-5 blocks left from 2nd Ave line",2176,177.198697068404
2014,"1 block left from 2nd Ave line",962,239.303482587065
2014,"2-3 blocks left from 2nd Ave line",2158,229.33049946865
2014,"4-5 blocks left from 2nd Ave line",2154,175.407166123778
2015,"1 block left from 2nd Ave line",1046,260.199004975124
2015,"2-3 blocks left from 2nd Ave line",2012,213.815090329437
2015,"4-5 blocks left from 2nd Ave line",2011,163.762214983713
2016,"1 block left from 2nd Ave line",873,217.164179104478
2016,"2-3 blocks left from 2nd Ave line",2069,219.872476089267
2016,"4-5 blocks left from 2nd Ave line",2024,164.820846905537
2017,"1 block left from 2nd Ave line",765,190.298507462687
2017,"2-3 blocks left from 2nd Ave line",1840,195.536663124336
2017,"4-5 blocks left from 2nd Ave line",1988,161.889250814332
